question,answer_agent,answer_orig,tool_calls,cost,document
Do I need to join a live cohort to earn a certificate in this course?,"Based on the FAQ, **yes, you need to join a live cohort to earn a certificate** in this course.

Here are the key points:

- **Certificate requires live cohort**: You can only get a certificate if you finish the course with a ""live"" cohort. Self-paced mode does not award certificates.

- **Why the live cohort requirement**: The main reason is that you need to peer-review 3 capstone projects after submitting your own. Peer-reviewing can only happen during the time when the course is actively running, after the peer-review form is closed and the peer-review list is compiled.

- **What you do need to pass**: To get the certificate, you need to pass the Capstone project. Homework is optional (though recommended for reinforcing concepts and for leaderboard ranking).

- **Timing matters**: If you want to receive a certificate, you need to submit your capstone project while submissions are still being accepted during the live cohort period.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': {'query': 'certificate live cohort requirement'}}]",0.003594,69d122f12e
What happens if I just do the self-paced version - can I still get certified?,"Based on the FAQ, **no, you cannot get certified if you only do the self-paced version**. Here's why:

To receive a certificate, you must:
1. **Complete the course with a ""live"" cohort** (not self-paced)
2. **Peer-review 3 capstone projects** from other students in your cohort

The self-paced mode doesn't offer certification because the peer-review process requires participation during the active course period when the peer-review form is open and the list is being compiled. Once the course ends and the form closes, you can no longer participate in peer-reviews, which are essential for earning the certificate.

So if certification is important to you, you'll need to enroll in a live cohort offering of the course!","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': {'query': 'self-paced certification'}}]",0.002935,69d122f12e
Why can't I get a certificate if I complete the course on my own schedule?,"Based on the FAQ, here's why you can't get a certificate for completing the course on your own schedule:

**Certificates are only awarded for completing the course with a ""live"" cohort.** The main reason is that **you need to peer-review 3 capstone projects after submitting your own project** as part of the certification requirements.

The peer-review process can only happen while the course is actively running. Once the form is closed and the peer-review list is compiled, self-paced students cannot participate in peer-reviewing other students' work, which is a mandatory requirement for earning the certificate.

So while you can absolutely follow the course content on your own schedule, you won't be eligible for a certificate unless you join during a live cohort session and complete the capstone project submission and peer-review requirements during that cohort's active period.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': {'query': 'certificate self-paced schedule'}}]",0.003466,69d122f12e
Is peer-reviewing capstone projects required for the certificate?,"Yes, **peer-reviewing capstone projects is required for the certificate**. Here are the key details:

1. **You must review 3 projects**: After you submit your own capstone project, you are responsible for grading the projects from three fellow students.

2. **It's required for the certificate**: Not complying with the peer-review requirement may result in you failing to achieve the certificate at the end of the course.

3. **How your project is graded**: Each submitted project will be evaluated by three randomly assigned students who have also submitted the project. Your final grade will be the median score of the grades from these three peer reviewers.

4. **Live cohort only**: This is also why certificates are only awarded to those who complete the course with a ""live"" cohort—you can only peer-review projects while the course is running. Once the peer-review form is closed and the peer-review list is compiled, you can't participate in reviews.

5. **Timing**: Projects are assigned to you for evaluation after the submission deadline has passed. You cannot choose which projects to evaluate.

So peer-reviewing is an essential part of earning your certificate!","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': {'query': 'capstone project peer review requirements'}}]",0.004741,69d122f12e
When exactly can I do the peer-review process for the capstone projects?,"Based on the FAQ, here's when you can do the peer-review process for capstone projects:

**Timing:**
- **After the project submission deadline has passed** - You can only start peer-reviewing once the submission deadline closes
- You **cannot peer-review before** the evaluation list has been released
- Once the deadline passes, projects will be assigned to you for evaluation

**How it works:**
1. After the submission deadline, an Excel sheet will be shared with you containing **3 projects assigned for you to review**
2. You cannot choose which projects to evaluate - they are randomly assigned
3. You are responsible for grading these 3 projects, just as 3 other students will grade yours

**Important note:** Completing your peer reviews is mandatory if you want to receive a certificate. Not complying with the peer-review requirement could result in failing to achieve the certificate at the end of the course.

The peer-review process is specifically tied to the ""live"" cohort timeline, so make sure to watch for the announcement when the assignment list is released after the submission deadline!","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': {'query': 'peer-review process capstone projects timing when'}}]",0.003524,69d122f12e
Do I need to complete all the homeworks to get a certificate for this course?,"Based on the FAQ, **no, you do not need to complete all the homeworks to get a certificate**. 

Here's what you need to know:

- **Homework is not mandatory** to receive a certificate
- To get a certificate, you need to **pass the Capstone project**
- Homework is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard

However, there is one important requirement: you can only get a certificate if you **finish the course with a ""live"" cohort**, because you need to peer-review 3 capstones after submitting your project. Certificates are not awarded for self-paced mode.

So focus on completing the Capstone project to earn your certificate, but do the homeworks to better understand the material and improve your leaderboard ranking!","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': {'query': 'homework certificate requirements'}}]",0.003453,9f689c185f
What happens if I skip some assignments - will that affect my final certificate?,"Good news! Based on the FAQ, **skipping assignments will NOT affect your final certificate**.

Here's what you need to know:

✅ **Homework is NOT mandatory** - You can skip assignments and still get a certificate.

❌ **What IS required for a certificate:**
- You must **pass the Capstone project** to receive your certificate
- You must **submit your project before the deadline** (while submissions are still being accepted)
- If you submit a capstone project, you must also **peer-review 3 other students' projects** (not complying with this requirement can result in failing to achieve the certificate)

**About homework:**
- While assignments are recommended for reinforcing concepts, they're optional
- Homework points do count towards your leaderboard rank, but don't affect your certificate eligibility

So the bottom line: Focus on completing and passing your capstone project and doing the required peer reviews - the homework assignments are optional for certification purposes!","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': {'query': 'missing assignments course completion'}}]",0.005888,9f689c185f
Is homework required or optional in this course?,"Based on the FAQ, **homework is optional**, not required. Here are the key points:

- **Homework is not mandatory** to get a certificate in the course
- To get a certificate, you need to pass the **Capstone project** (not the homework)
- However, homework is **recommended** because it helps reinforce the concepts you learn
- If you do complete homework, the points count towards your **leaderboard rank**

So while you can skip homework and still potentially get a certificate by passing the Capstone, doing the homework is encouraged as a learning tool and for competitive purposes if you're interested in the leaderboard.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': {'query': 'homework required optional'}}, {'name': 'search', 'arguments': {'query': 'is homework mandatory required to pass'}}]",0.006986,9f689c185f
How does the capstone project relate to getting certified?,"Based on the FAQ information, here's how the capstone project relates to getting certified:

## Capstone Project and Certification

**The capstone project is essential for certification.** Here are the key points:

1. **Required for Certificate**: You need to **pass the capstone project to get the certificate**. Unlike homework (which is optional and recommended), the capstone is mandatory for certification.

2. **Peer Review Component**: After you submit your project, you must also **peer-review 3 capstone projects from fellow students**. This is a critical requirement:
   - Your own project will be evaluated by 3 randomly assigned students who also submitted projects
   - You grade their projects as well
   - Your final grade is the **median score** from your peer reviewers
   - **Not complying with the peer-review requirement may result in failing to achieve the certificate**

3. **Live Cohort Requirement**: You can only receive a certificate if you're part of a ""live"" cohort. Self-paced students cannot get certificates because peer-review only happens during the active course period.

4. **Individual Effort**: The capstone must be an individual project that stands on its own, though you can discuss ideas with other students.

In summary: **Submit your capstone project + participate in peer-reviewing 3 other projects = Certificate**. Both components are required for certification.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': {'query': 'capstone project certification'}}, {'name': 'search', 'arguments': {'query': 'certification requirements certificate'}}]",0.006578,9f689c185f
Can I still rank on the leaderboard if I don't do the homework?,"Yes, you can still rank on the leaderboard even if you don't do the homework! However, there's an important caveat:

According to the course FAQ, **homework is not mandatory** to get a certificate—you only need to pass the Capstone project for that. However, **homework points do count towards your leaderboard ranking**.

So in summary:
- ✅ You can rank on the leaderboard without doing homework
- ⚠️ But doing homework will improve your ranking since homework points contribute to your leaderboard position
- ✅ You can still get a certificate without homework (as long as you pass the Capstone)

If you want a higher leaderboard ranking, I'd recommend doing the homework assignments!","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': {'query': 'leaderboard ranking homework requirements'}}]",0.003429,9f689c185f
How do I know when a homework assignment is actually ready to work on?,"Great question! Based on the course FAQ, here's how to know when a homework assignment is ready to work on:

**A homework assignment is ready when BOTH of the following are true:**

1. **The homework form is open** on the course management platform
2. **The homework title does NOT contain `[DRAFT]`**

If the title contains `[DRAFT]`, it means the homework is still being finalized and the content can still change. Working on draft material is at your own risk, since the final version might be different.

**Additional tips:**
- Check both the course management platform **and** the GitHub repo for homework instructions—the GitHub version often contains important extra context
- If anything is unclear, make sure you've read the complete homework instructions on GitHub before starting

This way, you can be confident that you're working on the final version of the assignment!","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': {'query': 'homework assignment ready to work on'}}]",0.003722,96286b4be4
What does the [DRAFT] tag mean in homework titles?,"The **[DRAFT]** tag in homework titles means that **the homework is not ready yet**.

According to the course FAQ, a homework is only ready when **both** of the following are true:

1. The homework form is open on the course management platform
2. The homework title does **not** contain `[DRAFT]`

**Important:** Until the homework is officially ready (i.e., the [DRAFT] tag is removed), the content can still change. If you work on the material or homework in advance, you do so at your own risk, because the final version may be different from what you see initially.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': {'query': 'DRAFT tag homework titles'}}]",0.003414,96286b4be4
Is it safe to start working on homework before the form opens?,"Based on the FAQ, **it is not recommended to start working on homework before the form opens**. Here's why:

According to the course guidelines, the homework is only officially ready when **both** of these conditions are true:

1. **The homework form is open** on the course management platform
2. **The homework title does not contain `[DRAFT]`**

Until the form opens, the content can still change. If you work on the material in advance, **you're doing so at your own risk** because the final version could be different from what you started with.

**Best practice:** Wait until the form opens and the `[DRAFT]` label is removed before you start working on the homework. This ensures you're working with the final, stable version of the assignment.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': {'query': 'start homework before form opens'}}]",0.003547,96286b4be4
Why should I wait for the homework form to open before starting?,"Based on the FAQ, you should wait for the homework form to open before starting because **the homework content can still change until it's officially ready**.

Here's why:

The homework is only ready when **both** of these conditions are true:
1. **The homework form is open** on the course management platform
2. **The homework title does NOT contain `[DRAFT]`**

Until both conditions are met, the content can still change. If you start working on the material or homework before it's officially ready, you risk doing work that may be different from the final version. This could mean wasting effort on outdated or incorrect information.

So it's best to wait for the form to be open and for the `[DRAFT]` label to be removed before you begin working on the homework.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': {'query': 'homework form open before starting'}}]",0.003377,96286b4be4
What changes could happen to homework content before it's finalized?,"Based on the FAQ, here are the changes that could happen to homework content before it's finalized:

**Homework Status Indicator:**
- If the homework title contains **`[DRAFT]`**, the homework is **not ready yet** and the content can still change.

**When Homework is Finalized:**
The homework is only ready when **both** of these conditions are true:
1. The homework form is open on the course management platform
2. The homework title **does not contain** `[DRAFT]`

**Important Warning:**
Working on draft homework material in advance is **at your own risk**, because the final version can be different from what you see. This means the content, questions, or requirements could change before the homework is officially released.

**Recommendation:**
Always check if the `[DRAFT]` tag is present before investing significant time in homework. Once both conditions above are met, you can be confident that the content is finalized and stable.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': {'query': 'homework content changes before finalized'}}]",0.003843,96286b4be4
When is the next time this course is going to run?,"According to the FAQ, **the next time this course (LLM Zoomcamp) will run is in Summer 2027**.

If you're interested in following the current cohort or self-paced materials, you can visit the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) for more information about the current offering.",Summer 2027.,"[{'name': 'search', 'arguments': {'query': 'when is the next time this course is going to run'}}, {'name': 'search', 'arguments': {'query': 'next cohort schedule course dates'}}]",0.006107,bd31146b0e
Do you know what dates the course starts in the coming sessions?,"Based on the FAQ search, the information I found mentions that deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/), but it doesn't provide specific start dates for upcoming sessions.

From what I can tell:
- **You can start whenever you want** - the course materials (videos and GitHub resources) are available now
- **Deadlines are posted in the course management platform** - you can check there for when each module's homework is due
- The course doesn't have mandatory live session start dates by default; materials are pre-recorded and available

For specific information about upcoming cohort start dates or session schedules, I'd recommend:
1. Checking the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/)
2. Visiting the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
3. Checking the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

Is there anything else about the course structure or how to get started that I can help clarify?",Summer 2027.,"[{'name': 'search', 'arguments': {'query': 'course start dates sessions'}}]",0.004007,bd31146b0e
Is there a schedule for upcoming offerings of this course?,"Based on the FAQ search results, I don't see specific information about upcoming course schedules in these results. However, I found that:

**The course deadlines and schedule are available in the course management platform** at https://courses.datatalks.club/llm-zoomcamp-2026/

According to the FAQ, you can start the course whenever you want, as the videos and GitHub materials are always available. The specific deadlines for assignments are listed in that course management platform.

If you need information about when the next live cohort is running (which matters if you want to get a certificate, since certificates are only awarded for completing the course with a live cohort), I'd recommend checking:
- The course management platform link above
- The [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)

Is there a specific aspect of the course schedule or timeline you'd like to know more about?",Summer 2027.,"[{'name': 'search', 'arguments': {'query': 'schedule upcoming offerings course'}}]",0.00364,bd31146b0e
What's the timeline for the next iteration of this course?,"Based on the FAQ, **the next iteration of this course will be offered in Summer 2027**.

If you're interested in taking the course before then, the current cohort materials (2026) are available in self-paced mode on the [GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp), though note that certificates are only available if you complete the course with a live cohort.",Summer 2027.,"[{'name': 'search', 'arguments': {'query': 'next iteration course timeline'}}]",0.003072,bd31146b0e
When should I expect to take this course if I want to join the next cohort?,"Based on the FAQ, **the next cohort of LLM Zoomcamp will be offered in Summer 2027**.

If you're interested in joining, you can register to gauge your interest, though registration isn't required to start learning. The course materials (videos and GitHub resources) are available, and you can begin whenever you want. You'll need to track the deadlines listed in the course management platform when the cohort officially starts.

Is there anything else you'd like to know about the course or registration process?",Summer 2027.,"[{'name': 'search', 'arguments': {'query': 'next cohort start date enrollment'}}]",0.00334,bd31146b0e
Where can I find the course lectures and video materials?,"Based on the FAQ results, here's where you can find the course lectures and video materials:

**Main Resource: GitHub Repository**
- Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as your primary entry point
- Each lesson folder in the repo has relevant videos linked at the top
- The GitHub repo is kept more up-to-date than other resources, so it's the best place to start

**YouTube**
- Videos are available on the [DataTalksClub YouTube Channel](https://www.youtube.com/c/DataTalksClub)
- You can also watch live sessions on YouTube Live (announcements are posted on Telegram and Slack)

**For Live Sessions**
- Office hours and live workshop sessions are streamed on YouTube Live
- Watch for announcements on the [Telegram](https://t.me/dezoomcamp) or Slack announcements channel before sessions begin
- You can submit questions via Slido during live streams

**When in Doubt**
- Always refer to the GitHub repo first, as it's the easiest to keep updated with the latest materials

Is there a specific module or lesson you're looking for?","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': {'query': 'course lectures video materials where to find'}}]",0.003932,31456f4b5f
How do I access the videos for each lesson in this course?,"Based on the FAQ, here's how to access the videos for each lesson:

1. **Start with the LLM Zoomcamp GitHub Repository**: Go to the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as your main entry point.

2. **Open lesson folders**: Each lesson has its own folder in the repository.

3. **Find videos at the top**: Each lesson page has the relevant videos linked at the top of the folder.

**Pro tip**: The FAQ recommends following the GitHub repo first, as it's easier to keep updated than the YouTube playlist.

The typical workflow is:
1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers through the course platform

All videos and materials are available whenever you want to start—you don't need to wait for a specific date!","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': {'query': 'access videos lessons'}}]",0.003844,31456f4b5f
What's the best place to look for course content and lesson videos?,"Based on the FAQ, here's the best place to look for course content and lesson videos:

**Primary Resource: [LLM Zoomcamp GitHub Repository](https://github.com/DataTalksClub/llm-zoomcamp)**

- This is the main entry point for all course materials
- Each lesson folder contains videos linked at the top of the lesson page
- The GitHub repo is recommended as the primary source because it's easier to keep updated than the YouTube playlist

**Secondary Resources:**
- [LLM Zoomcamp Documentation](https://datatalks.club/docs/courses/llm-zoomcamp/)
- [Course Management Platform](https://courses.datatalks.club/llm-zoomcamp-2026/) - for deadlines and homework submission

**Recommended Workflow:**
1. Start with the GitHub repository to access lesson videos and materials
2. Watch the lesson videos
3. Work through the lesson notebooks/code
4. Refer to the homework instructions on GitHub
5. Submit answers through the course platform before deadlines

**Pro tip:** When in doubt, always follow the GitHub repo first—it's the most up-to-date source for all course materials!","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': {'query': 'course content lesson videos where to find'}}]",0.003958,31456f4b5f
Should I use GitHub or YouTube to watch the course lessons?,"Based on the FAQ, here's the recommendation:

**Use GitHub as your main entry point.** 

Here's why:

1. **GitHub is the primary source**: The [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) should be your main starting point. Each lesson folder has the relevant videos linked at the top.

2. **GitHub is easier to keep updated**: The FAQ explicitly states: *""When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.""*

3. **How to access the videos**: While the lesson videos are hosted on YouTube, you'll find them linked from the GitHub repository, so you won't have to search for them separately.

So the workflow is: Start with the GitHub repo → Click the video links for each lesson → Watch on YouTube → Complete the lesson materials.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': {'query': 'course lessons GitHub YouTube watch access'}}]",0.003748,31456f4b5f
How are the videos organized and where do I start watching them?,"Based on the FAQ, here's how videos are organized and where to start:

## Where to Start

1. **Course Documentation**: Begin with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

2. **Course Platform**: Check the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) for deadlines and course information.

## Typical Workflow

Follow this structure for each week:

1. **Watch the lesson videos** - Videos are organized by module/week
2. **Work through the lesson notebooks/code** - Available in the GitHub repository
3. **Read the homework instructions** on GitHub
4. **Submit answers** through the course platform before the deadline

## Accessing Videos

- **Live sessions**: Watch on [DataTalksClub YouTube Channel](https://www.youtube.com/c/DataTalksClub) or YouTube Live
- **Recorded videos**: Available after live sessions are published
- **Announcements**: Check Telegram and Slack for video URLs and updates

You can start whenever you want since all videos and materials are already available. The key is to follow the workflow above for each lesson and meet the homework deadlines!","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': {'query': 'video organization how to start watching'}}]",0.004323,31456f4b5f
